date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:17	6638/6638	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Apr%202022%2012:04:17%20GMT	http://cx.zzgcxy.com/zzgcxy/byzs.asp	C:/My%20Websites/111/cx.zzgcxy.com/zzgcxy/byzs.html	(from )
20:04:18	2156/2156	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Apr%202022%2012:04:17%20GMT	http://cx.zzgcxy.com/robots.txt		(from )
20:04:18	11219/11219	---M-Z	200	added ('OK')	text/css	etag:%225f3427d224fad11:0%22	http://www.zzgcxy.com/css/index.css	C:/My%20Websites/111/www.zzgcxy.com/css/index.css	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:19	1724/1724	---M-Z	200	added ('OK')	application/javascript	etag:%225c65d64432f9d11:0%22	http://www.zzgcxy.com/js/common.js	C:/My%20Websites/111/www.zzgcxy.com/js/common.js	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:19	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:19%20GMT	http://cx.zzgcxy.com/zzgcxy/images/index_top.jpg	C:/My%20Websites/111/cx.zzgcxy.com/zzgcxy/images/index_top.jpg	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:19	8097/8097	---M-Z	200	added ('OK')	application/javascript	etag:%221ca0d14432f9d11:0%22	http://www.zzgcxy.com/js/jquery.easing.1.3.js	C:/My%20Websites/111/www.zzgcxy.com/js/jquery.easing.1.3.js	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:19	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:%22484b184632f9d11:0%22	http://www.zzgcxy.com/js/jquery-1.9.1.min.js	C:/My%20Websites/111/www.zzgcxy.com/js/jquery-1.9.1.min.js	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:20	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:20%20GMT	http://cx.zzgcxy.com/zzgcxy/images/but_1.gif	C:/My%20Websites/111/cx.zzgcxy.com/zzgcxy/images/but_1.gif	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:20	18366/18366	---M--	200	added ('OK')	image/jpeg	etag:%227623f7e25ccd11:0%22	http://cx-x-zzgcxy-x-com.img.abc188.com/zzgcxy/images/index_top.jpg	C:/My%20Websites/111/cx-x-zzgcxy-x-com.img.abc188.com/zzgcxy/images/index_top.jpg	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:20	1275/1275	---M--	200	added ('OK')	image/gif	etag:%22ac69fc092ffcc1:0%22	http://cx-x-zzgcxy-x-com.img.abc188.com/zzgcxy/images/but_1.gif	C:/My%20Websites/111/cx-x-zzgcxy-x-com.img.abc188.com/zzgcxy/images/but_1.gif	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:20	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:20%20GMT	http://cx.zzgcxy.com/zzgcxy/images/but_2.gif	C:/My%20Websites/111/cx.zzgcxy.com/zzgcxy/images/but_2.9.delayed	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:21	1281/1281	---M--	200	added ('OK')	image/gif	etag:%22ca7a53c092ffcc1:0%22	http://cx-x-zzgcxy-x-com.img.abc188.com/zzgcxy/images/but_2.gif	C:/My%20Websites/111/cx-x-zzgcxy-x-com.img.abc188.com/zzgcxy/images/but_2.gif	(from http://cx.zzgcxy.com/zzgcxy/byzs.asp)
20:04:21	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:21%20GMT	http://www.zzgcxy.com/images/bg.gif	C:/My%20Websites/111/www.zzgcxy.com/images/bg.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:21	340/340	---M--	200	added ('OK')	image/gif	etag:%221d57ed4532f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/bg.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/bg.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:22	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:21%20GMT	http://www.zzgcxy.com/images/header.gif	C:/My%20Websites/111/www.zzgcxy.com/images/header.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:22	21612/21612	---M--	200	added ('OK')	image/gif	etag:%224dca5f4632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/header.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/header.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:22	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:22%20GMT	http://www.zzgcxy.com/images/nav_bg.gif	C:/My%20Websites/111/www.zzgcxy.com/images/nav_bg.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:22	260/260	---M--	200	added ('OK')	image/gif	etag:%22ba1d44632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/nav_bg.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/nav_bg.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:23	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:22%20GMT	http://www.zzgcxy.com/images/nav_split.gif	C:/My%20Websites/111/www.zzgcxy.com/images/nav_split.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:23	260/260	---M--	200	added ('OK')	image/gif	etag:%22cb5ef84632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/nav_split.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/nav_split.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:23	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:23%20GMT	http://www.zzgcxy.com/images/nav_hover.gif	C:/My%20Websites/111/www.zzgcxy.com/images/nav_hover.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:23	1120/1120	---M--	200	added ('OK')	image/gif	etag:%222710ea4632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/nav_hover.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/nav_hover.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:24	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:23%20GMT	http://www.zzgcxy.com/images/icon.gif	C:/My%20Websites/111/www.zzgcxy.com/images/icon.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:24	96/96	---M--	200	added ('OK')	image/gif	etag:%226c123c4632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/icon.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/icon.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:24	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:24%20GMT	http://www.zzgcxy.com/images/icon2.gif	C:/My%20Websites/111/www.zzgcxy.com/images/icon2.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:24	283/283	---M--	200	added ('OK')	image/gif	etag:%2229a3774632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/icon2.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/icon2.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:24	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:24%20GMT	http://www.zzgcxy.com/images/left_menu_t.gif	C:/My%20Websites/111/www.zzgcxy.com/images/left_menu_t.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:25	158/158	---M--	200	added ('OK')	image/gif	etag:%2254fe984632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/left_menu_t.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/left_menu_t.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:25	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:25%20GMT	http://www.zzgcxy.com/images/left_menu_bg.gif	C:/My%20Websites/111/www.zzgcxy.com/images/left_menu_bg.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:25	118/118	---M--	200	added ('OK')	image/gif	etag:%22cd3d944632f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/left_menu_bg.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/left_menu_bg.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:25	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2024%20Apr%202022%2012:04:25%20GMT	http://www.zzgcxy.com/images/sea.gif	C:/My%20Websites/111/www.zzgcxy.com/images/sea.gif	(from http://www.zzgcxy.com/css/index.css)
20:04:26	662/662	---M--	200	added ('OK')	image/gif	etag:%22df803d4732f9d11:0%22	http://www-x-zzgcxy-x-com.img.abc188.com/images/sea.gif	C:/My%20Websites/111/www-x-zzgcxy-x-com.img.abc188.com/images/sea.gif	(from http://www.zzgcxy.com/css/index.css)
